cell,trace,voltage_file,current_file,dt_ms,recording_duration_ms,detected_baseline_current_pA,depol_start_ms,depol_stop_ms,depol_duration_ms,depol_baseline_current_pA,depol_current_amp_pA,depol_current_range_pA,depol_baseline_voltage_mV,spike_count,firing_rate_hz,mean_spike_width_ms,interspike_min_v_mV,interspike_mean_min_v_mV,mean_trough_v_mV,post_step_ahp_status,post_step_window_start_ms,post_step_window_stop_ms,post_step_ahp_abs_mV,post_step_ahp_amplitude_mV,post_step_ahp_time_ms,post_step_decay_tau_ms,post_step_decay_fit_start_ms,post_step_decay_fit_stop_ms,passive_status,hyper_start_ms,hyper_stop_ms,hyper_duration_ms,hyper_current_amp_pA,passive_baseline_current_pA,passive_baseline_voltage_mV,input_resistance_MOhm,tau_ms,membrane_capacitance_pF,reversal_potential_mV,hyperpolarizing_voltage_deflection_mV,ipfx_spike_rows
m20240527cd,v75ctrl,v75ctrl.txt,i75ctrl.txt,0.05,2700.0,81.246033,200.0,500.0,300.0,81.246033,290.61080699999997,318.734437,-63.58243561833333,10,33.333333333333336,1.3550000000000033,-53.053658,-50.36177577777778,-50.1928605,decay_fit_failed,500.0,1200.0,-64.596848,-1.0144123816666664,100.75,nan,600.75,650.0,ok,2550.0,2600.0,50.0,-31.248473999999995,81.246033,-64.38421841666667,66.22711157893471,27.150001580162172,409.95297745701396,-69.76490850950348,-1.8625465833333266,10
m20240527cd,v76ctrl,v76ctrl.txt,i76ctrl.txt,0.05,2700.0,81.246033,200.0,500.0,300.0,81.246033,387.48107699999997,412.479857,-63.98841015166666,13,43.333333333333336,1.4625000000000101,-53.347393,-49.24993799999999,-49.24993799999999,decay_fit_failed,500.0,1200.0,-65.009323,-1.0209128483333316,79.5,nan,579.5,706.0500000000001,ok,2550.0,2600.0,50.0,-31.248473999999995,81.246033,-64.82993690833332,57.240718112081034,22.22511182275114,388.27451079898975,-69.48051818101115,-1.7886850916666788,13
m20240527cd,v77ctrl,v77ctrl.txt,i77ctrl.txt,0.05,2700.0,81.246033,200.0,500.0,300.0,81.246033,484.35137699999996,512.475004,-64.126210775,14,46.66666666666667,1.5857142857142856,-53.297398,-48.47263230769231,-48.327996785714284,ok,500.0,1200.0,-65.431183,-1.3049722250000002,89.55000000000001,61.21176425057346,589.5500000000001,760.6,ok,2550.0,2600.0,50.0,-31.248473999999995,81.246033,-65.00019964833332,61.69195179472355,26.488932041630303,429.37419340809174,-70.01242599968184,-1.927779351666672,14
m20240527cd,v78ctrl,v78ctrl.txt,i78ctrl.txt,0.05,2700.0,81.246033,200.0,500.0,300.0,81.246033,581.221617,609.345244,-64.263178345,16,53.333333333333336,1.700000000000009,-53.188026,-47.68954446666666,-47.68954446666667,ok,500.0,1200.0,-66.16864,-1.9054616549999963,75.85000000000001,55.59925033996103,575.85,1200.0,ok,2550.0,2600.0,50.0,-31.248473999999995,81.246033,-65.17228022166665,68.5390180410708,31.91263292066375,465.6126369003516,-70.74080354321909,-1.9275657783333457,16
